,Unnamed: 0,jersey_num,pts,fga,fga3,fgm,fgm3,fta,ftm,ast,blk,stl,dreb,oreb,reb,pf,tf,tov,mins_played,grade_level,division,jersey_no,height_in,season_y,school,conference,height_ft,conference_id,player_id_y,position,team_code_y
91,91,25,15.0,15.0,2.0,4.0,1.0,10.0,6.0,4.0,1.0,1.0,11.0,7.0,18.0,1.0,0.0,7.0,40.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
92,92,25,15.0,8.0,0.0,6.0,0.0,6.0,3.0,1.0,0.0,1.0,5.0,3.0,8.0,3.0,0.0,3.0,25.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
93,93,25,15.0,13.0,0.0,7.0,0.0,3.0,1.0,7.0,0.0,1.0,4.0,1.0,5.0,3.0,0.0,2.0,31.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
94,94,25,16.0,13.0,0.0,5.0,0.0,10.0,6.0,3.0,0.0,0.0,15.0,3.0,18.0,2.0,0.0,5.0,36.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
95,95,25,16.0,11.0,0.0,4.0,0.0,9.0,8.0,7.0,1.0,3.0,7.0,4.0,11.0,3.0,0.0,0.0,40.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
96,96,25,16.0,11.0,0.0,7.0,0.0,5.0,2.0,7.0,2.0,3.0,7.0,2.0,9.0,1.0,0.0,2.0,37.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
97,97,25,17.0,12.0,0.0,5.0,0.0,11.0,7.0,4.0,0.0,7.0,7.0,4.0,11.0,3.0,0.0,6.0,40.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
98,98,25,20.0,10.0,0.0,5.0,0.0,19.0,10.0,3.0,0.0,2.0,7.0,3.0,10.0,1.0,0.0,3.0,38.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
99,99,25,20.0,12.0,0.0,8.0,0.0,9.0,4.0,6.0,2.0,1.0,4.0,2.0,6.0,4.0,0.0,2.0,32.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
100,100,25,21.0,8.0,0.0,5.0,0.0,16.0,11.0,2.0,2.0,1.0,11.0,1.0,12.0,4.0,0.0,5.0,37.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
101,101,25,21.0,15.0,0.0,9.0,0.0,6.0,3.0,7.0,1.0,2.0,12.0,1.0,13.0,4.0,0.0,6.0,36.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
102,102,25,21.0,14.0,0.0,6.0,0.0,11.0,9.0,7.0,0.0,2.0,14.0,6.0,20.0,1.0,0.0,3.0,40.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
103,103,25,21.0,16.0,0.0,9.0,0.0,7.0,3.0,2.0,0.0,0.0,8.0,1.0,9.0,4.0,0.0,8.0,36.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
104,104,25,22.0,17.0,0.0,11.0,0.0,0.0,0.0,6.0,2.0,4.0,6.0,3.0,9.0,1.0,0.0,0.0,31.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
105,105,25,22.0,12.0,0.0,6.0,0.0,17.0,10.0,0.0,0.0,2.0,12.0,2.0,14.0,3.0,0.0,3.0,37.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
106,106,25,22.0,8.0,0.0,6.0,0.0,11.0,10.0,7.0,0.0,2.0,10.0,4.0,14.0,3.0,0.0,6.0,37.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
107,107,25,22.0,12.0,0.0,6.0,0.0,12.0,10.0,5.0,0.0,4.0,9.0,2.0,11.0,2.0,0.0,4.0,40.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
